gene	length	distribution
468	7	(prob=0.0004,cumulative=0.1008)
469	5	(prob=0.0003,cumulative=0.1011)
470	7	(prob=0.0004,cumulative=0.1016)
471	4	(prob=0.0002,cumulative=0.1018)
472	5	(prob=0.0003,cumulative=0.1021)
473	6	(prob=0.0004,cumulative=0.1024)
474	12	(prob=0.0007,cumulative=0.1031)
475	7	(prob=0.0004,cumulative=0.1036)
476	7	(prob=0.0004,cumulative=0.1040)
477	14	(prob=0.0008,cumulative=0.1048)
478	6	(prob=0.0004,cumulative=0.1052)
479	9	(prob=0.0005,cumulative=0.1057)
480	12	(prob=0.0007,cumulative=0.1064)
481	3	(prob=0.0002,cumulative=0.1066)
482	4	(prob=0.0002,cumulative=0.1068)
483	12	(prob=0.0007,cumulative=0.1075)
484	4	(prob=0.0002,cumulative=0.1077)
485	4	(prob=0.0002,cumulative=0.1080)
486	11	(prob=0.0006,cumulative=0.1086)
487	9	(prob=0.0005,cumulative=0.1092)
488	6	(prob=0.0004,cumulative=0.1095)
489	12	(prob=0.0007,cumulative=0.1102)
490	6	(prob=0.0004,cumulative=0.1106)
491	9	(prob=0.0005,cumulative=0.1111)
492	10	(prob=0.0006,cumulative=0.1117)
493	7	(prob=0.0004,cumulative=0.1121)
494	5	(prob=0.0003,cumulative=0.1124)
495	9	(prob=0.0005,cumulative=0.1129)
496	9	(prob=0.0005,cumulative=0.1135)
497	3	(prob=0.0002,cumulative=0.1136)
498	12	(prob=0.0007,cumulative=0.1144)
499	8	(prob=0.0005,cumulative=0.1148)
500	5	(prob=0.0003,cumulative=0.1151)
501	12	(prob=0.0007,cumulative=0.1158)
502	9	(prob=0.0005,cumulative=0.1164)
503	7	(prob=0.0004,cumulative=0.1168)
504	22	(prob=0.0013,cumulative=0.1181)
505	4	(prob=0.0002,cumulative=0.1183)
506	10	(prob=0.0006,cumulative=0.1189)
507	11	(prob=0.0006,cumulative=0.1195)
508	6	(prob=0.0004,cumulative=0.1199)
509	5	(prob=0.0003,cumulative=0.1202)
510	10	(prob=0.0006,cumulative=0.1208)
511	7	(prob=0.0004,cumulative=0.1212)
512	10	(prob=0.0006,cumulative=0.1218)
513	17	(prob=0.0010,cumulative=0.1228)
514	7	(prob=0.0004,cumulative=0.1232)
515	4	(prob=0.0002,cumulative=0.1234)
516	15	(prob=0.0009,cumulative=0.1243)
517	9	(prob=0.0005,cumulative=0.1249)
518	6	(prob=0.0004,cumulative=0.1252)
519	9	(prob=0.0005,cumulative=0.1257)
520	10	(prob=0.0006,cumulative=0.1263)
521	11	(prob=0.0006,cumulative=0.1270)
522	7	(prob=0.0004,cumulative=0.1274)
523	5	(prob=0.0003,cumulative=0.1277)
524	12	(prob=0.0007,cumulative=0.1284)
525	12	(prob=0.0007,cumulative=0.1291)
526	9	(prob=0.0005,cumulative=0.1296)
527	5	(prob=0.0003,cumulative=0.1299)
528	15	(prob=0.0009,cumulative=0.1308)
529	7	(prob=0.0004,cumulative=0.1312)
530	6	(prob=0.0004,cumulative=0.1316)
531	9	(prob=0.0005,cumulative=0.1321)
532	3	(prob=0.0002,cumulative=0.1323)
533	6	(prob=0.0004,cumulative=0.1326)
534	11	(prob=0.0006,cumulative=0.1333)
