exon	length	distribution
190	306	(prob=0.0030,cumulative=0.5991)
191	282	(prob=0.0028,cumulative=0.6019)
192	331	(prob=0.0033,cumulative=0.6052)
193	260	(prob=0.0026,cumulative=0.6078)
194	257	(prob=0.0026,cumulative=0.6103)
195	338	(prob=0.0034,cumulative=0.6137)
196	258	(prob=0.0026,cumulative=0.6162)
197	294	(prob=0.0029,cumulative=0.6192)
198	314	(prob=0.0031,cumulative=0.6223)
199	235	(prob=0.0023,cumulative=0.6246)
200	246	(prob=0.0024,cumulative=0.6271)
201	321	(prob=0.0032,cumulative=0.6302)
202	270	(prob=0.0027,cumulative=0.6329)
203	259	(prob=0.0026,cumulative=0.6355)
204	290	(prob=0.0029,cumulative=0.6384)
205	293	(prob=0.0029,cumulative=0.6413)
206	278	(prob=0.0028,cumulative=0.6441)
207	268	(prob=0.0027,cumulative=0.6467)
208	251	(prob=0.0025,cumulative=0.6492)
209	278	(prob=0.0028,cumulative=0.6520)
210	299	(prob=0.0030,cumulative=0.6550)
211	238	(prob=0.0024,cumulative=0.6573)
212	279	(prob=0.0028,cumulative=0.6601)
213	270	(prob=0.0027,cumulative=0.6628)
214	238	(prob=0.0024,cumulative=0.6651)
215	257	(prob=0.0026,cumulative=0.6677)
216	278	(prob=0.0028,cumulative=0.6705)
217	244	(prob=0.0024,cumulative=0.6729)
218	257	(prob=0.0026,cumulative=0.6754)
219	275	(prob=0.0027,cumulative=0.6782)
220	245	(prob=0.0024,cumulative=0.6806)
221	227	(prob=0.0023,cumulative=0.6829)
222	267	(prob=0.0027,cumulative=0.6855)
223	258	(prob=0.0026,cumulative=0.6881)
224	236	(prob=0.0023,cumulative=0.6904)
225	264	(prob=0.0026,cumulative=0.6931)
226	231	(prob=0.0023,cumulative=0.6954)
227	193	(prob=0.0019,cumulative=0.6973)
228	235	(prob=0.0023,cumulative=0.6996)
229	209	(prob=0.0021,cumulative=0.7017)
230	214	(prob=0.0021,cumulative=0.7038)
231	239	(prob=0.0024,cumulative=0.7062)
232	207	(prob=0.0021,cumulative=0.7083)
233	239	(prob=0.0024,cumulative=0.7106)
234	245	(prob=0.0024,cumulative=0.7131)
235	205	(prob=0.0020,cumulative=0.7151)
236	234	(prob=0.0023,cumulative=0.7174)
237	218	(prob=0.0022,cumulative=0.7196)
238	201	(prob=0.0020,cumulative=0.7216)
239	234	(prob=0.0023,cumulative=0.7239)
240	236	(prob=0.0023,cumulative=0.7263)
241	166	(prob=0.0017,cumulative=0.7279)
242	195	(prob=0.0019,cumulative=0.7299)
243	246	(prob=0.0024,cumulative=0.7323)
244	204	(prob=0.0020,cumulative=0.7343)
245	204	(prob=0.0020,cumulative=0.7364)
246	213	(prob=0.0021,cumulative=0.7385)
247	177	(prob=0.0018,cumulative=0.7402)
248	176	(prob=0.0017,cumulative=0.7420)
249	232	(prob=0.0023,cumulative=0.7443)
250	189	(prob=0.0019,cumulative=0.7462)
251	188	(prob=0.0019,cumulative=0.7480)
252	209	(prob=0.0021,cumulative=0.7501)
253	176	(prob=0.0017,cumulative=0.7519)
254	198	(prob=0.0020,cumulative=0.7538)
255	210	(prob=0.0021,cumulative=0.7559)
256	166	(prob=0.0017,cumulative=0.7576)
257	200	(prob=0.0020,cumulative=0.7596)
258	217	(prob=0.0022,cumulative=0.7617)
259	176	(prob=0.0017,cumulative=0.7635)
260	183	(prob=0.0018,cumulative=0.7653)
261	169	(prob=0.0017,cumulative=0.7670)
262	148	(prob=0.0015,cumulative=0.7684)
263	138	(prob=0.0014,cumulative=0.7698)
264	181	(prob=0.0018,cumulative=0.7716)
265	163	(prob=0.0016,cumulative=0.7732)
266	155	(prob=0.0015,cumulative=0.7748)
267	154	(prob=0.0015,cumulative=0.7763)
268	150	(prob=0.0015,cumulative=0.7778)
269	142	(prob=0.0014,cumulative=0.7792)
270	171	(prob=0.0017,cumulative=0.7809)
271	128	(prob=0.0013,cumulative=0.7822)
272	152	(prob=0.0015,cumulative=0.7837)
273	162	(prob=0.0016,cumulative=0.7853)
274	152	(prob=0.0015,cumulative=0.7868)
275	132	(prob=0.0013,cumulative=0.7881)
