intron	length	distribution
218	56	(prob=0.0007,cumulative=0.8312)
219	51	(prob=0.0006,cumulative=0.8318)
220	40	(prob=0.0005,cumulative=0.8323)
221	51	(prob=0.0006,cumulative=0.8329)
222	42	(prob=0.0005,cumulative=0.8334)
223	68	(prob=0.0008,cumulative=0.8342)
224	53	(prob=0.0006,cumulative=0.8348)
225	53	(prob=0.0006,cumulative=0.8355)
226	53	(prob=0.0006,cumulative=0.8361)
227	75	(prob=0.0009,cumulative=0.8370)
228	61	(prob=0.0007,cumulative=0.8377)
229	45	(prob=0.0005,cumulative=0.8382)
230	47	(prob=0.0006,cumulative=0.8388)
231	47	(prob=0.0006,cumulative=0.8394)
232	52	(prob=0.0006,cumulative=0.8400)
233	56	(prob=0.0007,cumulative=0.8407)
234	49	(prob=0.0006,cumulative=0.8413)
235	56	(prob=0.0007,cumulative=0.8419)
236	52	(prob=0.0006,cumulative=0.8425)
237	47	(prob=0.0006,cumulative=0.8431)
238	37	(prob=0.0004,cumulative=0.8435)
239	47	(prob=0.0006,cumulative=0.8441)
240	42	(prob=0.0005,cumulative=0.8446)
241	37	(prob=0.0004,cumulative=0.8451)
242	45	(prob=0.0005,cumulative=0.8456)
243	46	(prob=0.0005,cumulative=0.8461)
244	48	(prob=0.0006,cumulative=0.8467)
245	37	(prob=0.0004,cumulative=0.8472)
246	50	(prob=0.0006,cumulative=0.8478)
247	36	(prob=0.0004,cumulative=0.8482)
248	54	(prob=0.0006,cumulative=0.8488)
249	44	(prob=0.0005,cumulative=0.8494)
250	42	(prob=0.0005,cumulative=0.8499)
251	38	(prob=0.0005,cumulative=0.8503)
252	49	(prob=0.0006,cumulative=0.8509)
253	44	(prob=0.0005,cumulative=0.8514)
254	49	(prob=0.0006,cumulative=0.8520)
255	33	(prob=0.0004,cumulative=0.8524)
256	38	(prob=0.0005,cumulative=0.8529)
257	52	(prob=0.0006,cumulative=0.8535)
258	47	(prob=0.0006,cumulative=0.8540)
259	50	(prob=0.0006,cumulative=0.8546)
260	58	(prob=0.0007,cumulative=0.8553)
261	33	(prob=0.0004,cumulative=0.8557)
262	37	(prob=0.0004,cumulative=0.8562)
263	38	(prob=0.0005,cumulative=0.8566)
264	36	(prob=0.0004,cumulative=0.8571)
265	45	(prob=0.0005,cumulative=0.8576)
266	41	(prob=0.0005,cumulative=0.8581)
267	46	(prob=0.0005,cumulative=0.8586)
268	35	(prob=0.0004,cumulative=0.8591)
269	46	(prob=0.0005,cumulative=0.8596)
270	45	(prob=0.0005,cumulative=0.8601)
271	34	(prob=0.0004,cumulative=0.8605)
272	33	(prob=0.0004,cumulative=0.8609)
273	41	(prob=0.0005,cumulative=0.8614)
274	36	(prob=0.0004,cumulative=0.8619)
275	40	(prob=0.0005,cumulative=0.8623)
276	51	(prob=0.0006,cumulative=0.8629)
277	36	(prob=0.0004,cumulative=0.8634)
278	49	(prob=0.0006,cumulative=0.8640)
279	38	(prob=0.0005,cumulative=0.8644)
280	39	(prob=0.0005,cumulative=0.8649)
281	35	(prob=0.0004,cumulative=0.8653)
282	47	(prob=0.0006,cumulative=0.8659)
283	43	(prob=0.0005,cumulative=0.8664)
284	32	(prob=0.0004,cumulative=0.8668)
285	34	(prob=0.0004,cumulative=0.8672)
286	42	(prob=0.0005,cumulative=0.8677)
287	43	(prob=0.0005,cumulative=0.8682)
288	41	(prob=0.0005,cumulative=0.8687)
289	53	(prob=0.0006,cumulative=0.8693)
290	32	(prob=0.0004,cumulative=0.8697)
291	35	(prob=0.0004,cumulative=0.8701)
292	38	(prob=0.0005,cumulative=0.8706)
293	29	(prob=0.0003,cumulative=0.8709)
294	39	(prob=0.0005,cumulative=0.8714)
295	24	(prob=0.0003,cumulative=0.8717)
296	37	(prob=0.0004,cumulative=0.8721)
297	33	(prob=0.0004,cumulative=0.8725)
298	25	(prob=0.0003,cumulative=0.8728)
299	31	(prob=0.0004,cumulative=0.8732)
300	30	(prob=0.0004,cumulative=0.8735)
301	22	(prob=0.0003,cumulative=0.8738)
302	37	(prob=0.0004,cumulative=0.8742)
303	28	(prob=0.0003,cumulative=0.8746)
304	36	(prob=0.0004,cumulative=0.8750)
305	32	(prob=0.0004,cumulative=0.8754)
306	34	(prob=0.0004,cumulative=0.8758)
307	25	(prob=0.0003,cumulative=0.8761)
308	30	(prob=0.0004,cumulative=0.8764)
309	31	(prob=0.0004,cumulative=0.8768)
310	28	(prob=0.0003,cumulative=0.8772)
311	43	(prob=0.0005,cumulative=0.8777)
312	32	(prob=0.0004,cumulative=0.8781)
313	31	(prob=0.0004,cumulative=0.8784)
314	33	(prob=0.0004,cumulative=0.8788)
315	32	(prob=0.0004,cumulative=0.8792)
316	18	(prob=0.0002,cumulative=0.8794)
317	35	(prob=0.0004,cumulative=0.8798)
318	25	(prob=0.0003,cumulative=0.8801)
319	30	(prob=0.0004,cumulative=0.8805)
320	30	(prob=0.0004,cumulative=0.8808)
321	37	(prob=0.0004,cumulative=0.8813)
322	32	(prob=0.0004,cumulative=0.8817)
323	29	(prob=0.0003,cumulative=0.8820)
324	40	(prob=0.0005,cumulative=0.8825)
325	30	(prob=0.0004,cumulative=0.8829)
326	29	(prob=0.0003,cumulative=0.8832)
327	27	(prob=0.0003,cumulative=0.8835)
328	23	(prob=0.0003,cumulative=0.8838)
329	37	(prob=0.0004,cumulative=0.8842)
330	28	(prob=0.0003,cumulative=0.8846)
331	33	(prob=0.0004,cumulative=0.8850)
332	26	(prob=0.0003,cumulative=0.8853)
333	21	(prob=0.0003,cumulative=0.8855)
334	28	(prob=0.0003,cumulative=0.8859)
335	21	(prob=0.0003,cumulative=0.8861)
336	23	(prob=0.0003,cumulative=0.8864)
337	27	(prob=0.0003,cumulative=0.8867)
338	29	(prob=0.0003,cumulative=0.8871)
339	32	(prob=0.0004,cumulative=0.8874)
340	32	(prob=0.0004,cumulative=0.8878)
341	22	(prob=0.0003,cumulative=0.8881)
342	26	(prob=0.0003,cumulative=0.8884)
343	31	(prob=0.0004,cumulative=0.8888)
344	29	(prob=0.0003,cumulative=0.8891)
345	34	(prob=0.0004,cumulative=0.8895)
346	28	(prob=0.0003,cumulative=0.8899)
347	28	(prob=0.0003,cumulative=0.8902)
348	26	(prob=0.0003,cumulative=0.8905)
349	19	(prob=0.0002,cumulative=0.8907)
350	25	(prob=0.0003,cumulative=0.8910)
351	23	(prob=0.0003,cumulative=0.8913)
352	32	(prob=0.0004,cumulative=0.8917)
353	20	(prob=0.0002,cumulative=0.8919)
354	31	(prob=0.0004,cumulative=0.8923)
355	25	(prob=0.0003,cumulative=0.8926)
356	22	(prob=0.0003,cumulative=0.8929)
357	22	(prob=0.0003,cumulative=0.8931)
358	28	(prob=0.0003,cumulative=0.8935)
359	20	(prob=0.0002,cumulative=0.8937)
360	31	(prob=0.0004,cumulative=0.8941)
361	17	(prob=0.0002,cumulative=0.8943)
362	12	(prob=0.0001,cumulative=0.8944)
363	25	(prob=0.0003,cumulative=0.8947)
364	31	(prob=0.0004,cumulative=0.8951)
365	19	(prob=0.0002,cumulative=0.8953)
366	17	(prob=0.0002,cumulative=0.8955)
367	22	(prob=0.0003,cumulative=0.8958)
368	31	(prob=0.0004,cumulative=0.8962)
369	24	(prob=0.0003,cumulative=0.8964)
370	24	(prob=0.0003,cumulative=0.8967)
371	19	(prob=0.0002,cumulative=0.8970)
372	25	(prob=0.0003,cumulative=0.8973)
373	31	(prob=0.0004,cumulative=0.8976)
374	15	(prob=0.0002,cumulative=0.8978)
375	21	(prob=0.0003,cumulative=0.8981)
376	20	(prob=0.0002,cumulative=0.8983)
377	17	(prob=0.0002,cumulative=0.8985)
378	23	(prob=0.0003,cumulative=0.8988)
379	25	(prob=0.0003,cumulative=0.8991)
380	26	(prob=0.0003,cumulative=0.8994)
381	29	(prob=0.0003,cumulative=0.8997)
382	21	(prob=0.0003,cumulative=0.9000)
383	28	(prob=0.0003,cumulative=0.9003)
384	26	(prob=0.0003,cumulative=0.9006)
385	17	(prob=0.0002,cumulative=0.9008)
386	30	(prob=0.0004,cumulative=0.9012)
387	18	(prob=0.0002,cumulative=0.9014)
388	18	(prob=0.0002,cumulative=0.9016)
389	20	(prob=0.0002,cumulative=0.9019)
390	25	(prob=0.0003,cumulative=0.9022)
391	19	(prob=0.0002,cumulative=0.9024)
392	26	(prob=0.0003,cumulative=0.9027)
393	17	(prob=0.0002,cumulative=0.9029)
394	30	(prob=0.0004,cumulative=0.9033)
395	25	(prob=0.0003,cumulative=0.9036)
396	22	(prob=0.0003,cumulative=0.9038)
